@High to low,@Low to High,@Sort_Button,Company,Display,Fingerprint Sensor,Gaming,GC_Null,Gen_Text,Generation,Graphics,Graphics Card,Graphics Company,Link,Model No,Num Keypad,OS,Processor,Processor Brand,RAM,Screen Size,SSD,Thumbnail,Title,Touch Screen,Warranty,Weight,Weight (group),1,@Button,@KW_Filter,@Price Sorting,Price,Sr. No
High to Low,Low to High,FALSE,Lenovo,WUXGA IPS Anti-glare Display,Yes,No,N/A,,,AMD Radeon AMD,,AMD,https://www.flipkart.com/lenovo-thinkpad-e14-amd-ryzen-5-hexa-core-7530u-16-gb-512-gb-ssd-windows-11-home-tp-gen-thin-light-laptop/p/itm2fd15091cea4c?pid=COMGQRD7JGPZMFMD&lid=LSTCOMGQRD7JGPZMFMDYBXTHU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=db528623-8a99-4681-93b3-5e5e0a99f305.COMGQRD7JGPZMFMD.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,TP E14 Gen 5,No,Windows 11 Home,AMD Ryzen 5 Hexa Core,AMD,16 GB,14 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/v/d/tp-e14-gen-5-thin-and-light-laptop-lenovo-original-imags8wwkum3gzbz.jpeg?q=70,Lenovo ThinkPad E14 Gen 5 Thin and Light Laptop,No,1 Year Onsite Warranty,1.41 Kg,1.21 KG TO 1.50 KG,1,1,1,-51990,51990,47
High to Low,Low to High,FALSE,Acer,Full HD,No,No,N/A,,,AMD Radeon AMD,,AMD,https://www.flipkart.com/acer-extensa-2023-amd-ryzen-5-quad-core-7520u-8-gb-512-gb-ssd-windows-11-home-ex215-23-thin-light-laptop/p/itm5b3f9da689dfd?pid=COMGMXKHFPASREJG&lid=LSTCOMGMXKHFPASREJG9CMDRC&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&fm=Search&iid=db528623-8a99-4681-93b3-5e5e0a99f305.COMGMXKHFPASREJG.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,EX215-23,Yes,Windows 11 Home,AMD Ryzen 5 Quad Core,AMD,8 GB,15.6 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/l/p/-original-imagqmqjv5cyvbup.jpeg?q=70,Acer Extensa (2023) Thin and Light Laptop,No,1 Year International Travelers Warranty,1.78 Kg,1.51 KG TO 1.80 KG ,1,1,1,-33990,33990,48
High to Low,Low to High,FALSE,Acer,Full HD,No,No,N/A,,,AMD Radeon AMD,,AMD,https://www.flipkart.com/acer-aspire-lite-amd-ryzen-5-hexa-core-5500u-16-gb-1-tb-ssd-windows-11-home-al15-41-thin-light-laptop/p/itm0d5eddf7d0d52?pid=COMGU2D9ZAXCAHBU&lid=LSTCOMGU2D9ZAXCAHBU9NMK1M&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&fm=Search&iid=db528623-8a99-4681-93b3-5e5e0a99f305.COMGU2D9ZAXCAHBU.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,AL15-41,Yes,Windows 11 Home,AMD Ryzen 5 Hexa Core,AMD,16 GB,15.6 Inch,1 TB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/s/t/w/-original-imagvkpfeggfh9gg.jpeg?q=70,"Acer Aspire Lite AMD Ryzen 5 Hexa Core 5500U  AL15-41 Thin and Light Laptop (15.6 Inch, Steel Grey, 1.59 Kg)",No,1 Year Onsite Warranty,1.59 Kg,1.51 KG TO 1.80 KG ,1,1,1,-39790,39790,49
High to Low,Low to High,FALSE,MSI,"Full HD, 60Hz 45%NTSC IPS-Level",No,No,N/A,,,AMD Radeon AMD,,AMD,https://www.flipkart.com/msi-modern-14-amd-ryzen-5-hexa-core-7530u-16-gb-512-gb-ssd-windows-11-home-c7m-062in-thin-light-laptop/p/itm491f6c86ff75c?pid=COMGMV6VNCJ7TTYV&lid=LSTCOMGMV6VNCJ7TTYVJYI44H&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=search&otracker1=search&fm=Search&iid=db528623-8a99-4681-93b3-5e5e0a99f305.COMGMV6VNCJ7TTYV.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,Modern 14 C7M-062IN,No,Windows 11 Home,AMD Ryzen 5 Hexa Core,AMD,16 GB,14 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/8/a/-original-imagvyw9hgt3mdqa.jpeg?q=70,MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U,No,1 Year Carry-in Warranty,1.4 Kg,1.21 KG TO 1.50 KG,1,1,1,-37990,37990,50
High to Low,Low to High,FALSE,HP,"Full HD, micro-edge, anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC",No,No,N/A,,,AMD Radeon AMD,,AMD,https://www.flipkart.com/hp-amd-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15s-eq2144au-thin-light-laptop/p/itmd57b41ed8750a?pid=COMGBH9JDPVGD8BH&lid=LSTCOMGBH9JDPVGD8BHIZPQIL&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=search&otracker1=search&fm=Search&iid=db528623-8a99-4681-93b3-5e5e0a99f305.COMGBH9JDPVGD8BH.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,15s- eq2144au,Yes,Windows 11 Home,AMD Ryzen 5 Hexa Core,AMD,8 GB,15.6 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/s/m/-original-imagykgpjswsfggf.jpeg?q=70,HP AMD Ryzen 5 Hexa Core 5500U,No,1 Year Onsite Warranty,1.69 Kg,1.51 KG TO 1.80 KG ,1,1,1,-38350,38350,51
High to Low,Low to High,FALSE,Lenovo,"15.6 Inch Full HD, IPS 250nits Anti-glare, 45% NTSC, 120Hz, FreeSync",No,Yes,4 GB,,,NVIDIA GeForce RTX 3050,4 GB,NVIDIA,https://www.flipkart.com/lenovo-ideapad-gaming-3-amd-ryzen-7-octa-core-6800h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15arh7-laptop/p/itm144cb7041cc42?pid=COMGVQ2YEE7ZFBSW&lid=LSTCOMGVQ2YEE7ZFBSW0LABOH&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=search&otracker1=search&fm=Search&iid=db528623-8a99-4681-93b3-5e5e0a99f305.COMGVQ2YEE7ZFBSW.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,15ARH7,Yes,Windows 11 Home,AMD Ryzen 7 Octa Core,AMD,16 GB,15.6 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/1/s/-original-imagzzebftghhzr4.jpeg?q=70,Lenovo IdeaPad Gaming 3 AMD Ryzen 7 Octa Core 6800H,No,1 Year Carry-in Warranty,2.32 Kg,2.11 KG & Above,1,1,1,-65990,65990,52
High to Low,Low to High,FALSE,HP,"15.6 Inch FHD, micro-edge, anti-glare, (Brightness 250 nits, 141 ppi, Color Gamut 45%NTSC)",No,No,N/A,,,AMD Radeon Radeon Graphics,,AMD,https://www.flipkart.com/hp-amd-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-15s-eq2182au-thin-light-laptop/p/itm2f070129053ed?pid=COMGFRHGDB9G3Z9C&lid=LSTCOMGFRHGDB9G3Z9CBGKRA6&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_15&otracker=search&otracker1=search&fm=Search&iid=db528623-8a99-4681-93b3-5e5e0a99f305.COMGFRHGDB9G3Z9C.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,15s-,Yes,Windows 11 Home,AMD Ryzen 5 Hexa Core,AMD,16 GB,15.6 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/t/k/-original-imagykgphhgwwbhm.jpeg?q=70,HP AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15s- eq2182AU Thin and Light Laptop,No,1 Year Onsite Warranty,1.69 Kg,1.51 KG TO 1.80 KG ,1,1,1,-45490,45490,53
High to Low,Low to High,FALSE,ASUS,"15.6 Inch Full HD OLED 16:9 aspect ratio, 60Hz refresh rate",Yes,Yes,4 GB,,,NVIDIA GeForce RTX 2050,4 GB,NVIDIA,https://www.flipkart.com/asus-vivobook-pro-15-oled-creator-amd-ryzen-7-octa-core-5800hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-m6500qfb-lk742ws-gaming-laptop/p/itme4851d65d36e9?pid=COMGQ9HG2J4XFGTZ&lid=LSTCOMGQ9HG2J4XFGTZYMXTZA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_16&otracker=search&otracker1=search&fm=Search&iid=db528623-8a99-4681-93b3-5e5e0a99f305.COMGQ9HG2J4XFGTZ.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,M6500QFB,Yes,Windows 11 Home,AMD Ryzen 7 Octa Core,AMD,16 GB,15.6 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/f/j/-original-imagsz6y7hycvhxy.jpeg?q=70,ASUS Vivobook Pro 15 OLED For Creator AMD Ryzen 7 Octa Core 5800HS,No,1 Year Onsite Warranty,1.80 Kg,1.51 KG TO 1.80 KG ,1,1,1,-62990,62990,54
High to Low,Low to High,FALSE,ASUS,"14 Inch 2.8K (2880 x 1800) OLED 16:10 aspect ratio, Glossy display, 90Hz refresh rate, 0.2ms response time, 600nits HDR peak Brightness, 100% DCI-P3 color gamut, VESA CERTIFIED Display HDR True Black 600, 1.07 billion Color depth, PANTONE Validated, 70% less harmful blue light",Yes,No,N/A,,,AMD Radeon AMD,,AMD,https://www.flipkart.com/asus-zenbook-14-oled-2023-amd-ryzen-5-hexa-core-7530u-16-gb-512-gb-ssd-windows-11-home-um3402ya-km541ws-thin-light-laptop/p/itmde571f9affd92?pid=COMGMGXF2U4ZJXVS&lid=LSTCOMGMGXF2U4ZJXVST64SLK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_17&otracker=search&otracker1=search&fm=Search&iid=db528623-8a99-4681-93b3-5e5e0a99f305.COMGMGXF2U4ZJXVS.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,UM3402YA-KM541WS,No,Windows 11 Home,AMD Ryzen 5 Hexa Core,AMD,16 GB,14 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/1/i/-original-imagpxgrz9wzqa9g.jpeg?q=70,ASUS Zenbook 14 OLED (2023) AMD Ryzen 5 Hexa Core 7530U,No,1 Year Onsite Warranty,1.39 Kg,1.21 KG TO 1.50 KG,1,1,1,-72990,72990,55
High to Low,Low to High,FALSE,Lenovo,15.6 inch Full HD,No,No,N/A,,,AMD Radeon AMD,,AMD,https://www.flipkart.com/lenovo-amd-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-v15-thin-light-laptop/p/itm59d4fc8c97b34?pid=COMGNVAVA2HVZZEZ&lid=LSTCOMGNVAVA2HVZZEZ0AHMTL&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_18&otracker=search&otracker1=search&fm=Search&iid=db528623-8a99-4681-93b3-5e5e0a99f305.COMGNVAVA2HVZZEZ.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,V15,Yes,Windows 11 Home,AMD Ryzen 5 Hexa Core,AMD,8 GB,15.6 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/m/e/i/v15-laptop-lenovo-original-imaghvguhkzhedwq.jpeg?q=70,Lenovo AMD Ryzen 5 Hexa Core 5500U,No,1 Year Onsite Warranty,1.7 kg,1.51 KG TO 1.80 KG ,1,1,1,-33941,33941,56
